
img_size =

   216   256    16     1

Training UNet...
[Warning: MATLAB has disabled some advanced graphics rendering features by switching to software OpenGL. For more information, click <a href="matlab:opengl('problems')">here</a>.] 
Initializing input data normalization.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|      33 |        1320 |       00:51:44 |       99.06% |              |       0.0652 |              |      5.0000e-05 |
|      34 |        1340 |       00:52:30 |       99.22% |              |       0.0620 |              |      5.0000e-05 |
|      34 |        1360 |       00:53:15 |       99.38% |              |       0.0663 |              |      5.0000e-05 |
|      35 |        1380 |       00:54:02 |       99.43% |              |       0.0632 |              |      5.0000e-05 |
|      35 |        1400 |       00:54:53 |       99.51% |       98.88% |       0.0561 |       0.1381 |      5.0000e-05 |
|      36 |        1420 |       00:55:40 |       99.15% |              |       0.1030 |              |      5.0000e-05 |
|      36 |        1440 |       00:56:25 |       99.23% |              |       0.0875 |              |      5.0000e-05 |
|      37 |        1460 |       00:57:11 |       99.29% |              |       0.0742 |              |      5.0000e-05 |
|      37 |        1480 |       00:57:56 |       99.44% |              |       0.0498 |              |      5.0000e-05 |
|      38 |        1500 |       00:58:48 |       99.31% |       98.94% |       0.0619 |       0.1382 |      5.0000e-05 |
|      38 |        1520 |       00:59:33 |       99.37% |              |       0.0638 |              |      5.0000e-05 |
|      39 |        1540 |       01:00:20 |       99.36% |              |       0.0578 |              |      5.0000e-05 |
|      39 |        1560 |       01:01:05 |       99.55% |              |       0.0559 |              |      5.0000e-05 |
|      40 |        1580 |       01:01:52 |       99.19% |              |       0.0781 |              |      5.0000e-05 |
|      40 |        1600 |       01:02:43 |       99.34% |       98.93% |       0.0778 |       0.1385 |      5.0000e-05 |
|      41 |        1620 |       01:03:30 |       99.32% |              |       0.0739 |              |      5.0000e-06 |
|      41 |        1640 |       01:04:15 |       99.47% |              |       0.0696 |              |      5.0000e-06 |
|      42 |        1660 |       01:05:01 |       99.26% |              |       0.0651 |              |      5.0000e-06 |
|      42 |        1680 |       01:05:46 |       99.42% |              |       0.0482 |              |      5.0000e-06 |
|      43 |        1700 |       01:06:38 |       99.34% |       98.94% |       0.0547 |       0.1380 |      5.0000e-06 |
|      43 |        1720 |       01:07:24 |       99.41% |              |       0.0653 |              |      5.0000e-06 |
|      44 |        1740 |       01:08:10 |       99.30% |              |       0.0748 |              |      5.0000e-06 |
|      44 |        1760 |       01:08:56 |       99.20% |              |       0.0822 |              |      5.0000e-06 |
|      45 |        1780 |       01:09:42 |       99.07% |              |       0.0844 |              |      5.0000e-06 |
|      45 |        1800 |       01:10:33 |       99.23% |       98.96% |       0.0831 |       0.1371 |      5.0000e-06 |
|      46 |        1820 |       01:11:20 |       99.35% |              |       0.0627 |              |      5.0000e-06 |
|      46 |        1840 |       01:12:04 |       99.39% |              |       0.0593 |              |      5.0000e-06 |
|      47 |        1860 |       01:12:51 |       99.50% |              |       0.0642 |              |      5.0000e-06 |
|      47 |        1880 |       01:13:36 |       99.02% |              |       0.0872 |              |      5.0000e-06 |
|      48 |        1900 |       01:14:29 |       99.35% |       98.95% |       0.0720 |       0.1329 |      5.0000e-06 |
|      48 |        1920 |       01:15:14 |       99.10% |              |       0.0816 |              |      5.0000e-06 |
|      49 |        1940 |       01:16:00 |       99.23% |              |       0.0715 |              |      5.0000e-06 |
|      49 |        1960 |       01:16:46 |       99.33% |              |       0.0636 |              |      5.0000e-06 |
|      50 |        1980 |       01:17:32 |       99.27% |              |       0.0742 |              |      5.0000e-06 |
|      50 |        2000 |       01:18:23 |       99.39% |       98.93% |       0.0568 |       0.1405 |      5.0000e-06 |
|      51 |        2020 |       01:19:10 |       99.40% |              |       0.0682 |              |      5.0000e-07 |
|      51 |        2040 |       01:19:55 |       99.24% |              |       0.0805 |              |      5.0000e-07 |
|      52 |        2060 |       01:20:42 |       99.10% |              |       0.0908 |              |      5.0000e-07 |
|      52 |        2080 |       01:21:27 |       99.47% |              |       0.0526 |              |      5.0000e-07 |
|      53 |        2100 |       01:22:19 |       99.36% |       98.91% |       0.0561 |       0.1377 |      5.0000e-07 |
|      53 |        2120 |       01:23:04 |       99.33% |              |       0.0685 |              |      5.0000e-07 |
