
img_size =

   216   256    16     1

Training UNet...
[Warning: MATLAB has disabled some advanced graphics rendering features by switching to software OpenGL. For more information, click <a href="matlab:opengl('problems')">here</a>.] 
Initializing input data normalization.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|      33 |        1320 |       00:50:19 |       98.21% |              |       0.3761 |              |      5.0000e-05 |
|      34 |        1340 |       00:51:04 |       98.67% |              |       0.2021 |              |      5.0000e-05 |
|      34 |        1360 |       00:51:48 |       97.77% |              |       0.2452 |              |      5.0000e-05 |
|      35 |        1380 |       00:52:33 |       98.26% |              |       0.2040 |              |      5.0000e-05 |
|      35 |        1400 |       00:53:23 |       98.39% |       98.11% |       0.2624 |       0.3016 |      5.0000e-05 |
|      36 |        1420 |       00:54:08 |       98.51% |              |       0.2123 |              |      5.0000e-05 |
|      36 |        1440 |       00:54:52 |       98.75% |              |       0.2156 |              |      5.0000e-05 |
|      37 |        1460 |       00:55:37 |       98.83% |              |       0.1695 |              |      5.0000e-05 |
|      37 |        1480 |       00:56:20 |       98.86% |              |       0.1494 |              |      5.0000e-05 |
|      38 |        1500 |       00:57:11 |       98.57% |       98.14% |       0.2208 |       0.3019 |      5.0000e-05 |
|      38 |        1520 |       00:57:56 |       98.73% |              |       0.2104 |              |      5.0000e-05 |
|      39 |        1540 |       00:58:41 |       98.20% |              |       0.2341 |              |      5.0000e-05 |
|      39 |        1560 |       00:59:25 |       97.70% |              |       0.3867 |              |      5.0000e-05 |
|      40 |        1580 |       01:00:10 |       98.16% |              |       0.2536 |              |      5.0000e-05 |
|      40 |        1600 |       01:01:00 |       98.22% |       98.13% |       0.3530 |       0.2983 |      5.0000e-05 |
|      41 |        1620 |       01:01:45 |       98.30% |              |       0.2472 |              |      5.0000e-06 |
|      41 |        1640 |       01:02:29 |       98.71% |              |       0.2344 |              |      5.0000e-06 |
|      42 |        1660 |       01:03:14 |       98.56% |              |       0.2130 |              |      5.0000e-06 |
|      42 |        1680 |       01:03:57 |       98.49% |              |       0.2404 |              |      5.0000e-06 |
|      43 |        1700 |       01:04:49 |       98.58% |       98.11% |       0.2237 |       0.3073 |      5.0000e-06 |
|      43 |        1720 |       01:05:33 |       98.53% |              |       0.2832 |              |      5.0000e-06 |
|      44 |        1740 |       01:06:18 |       98.60% |              |       0.2422 |              |      5.0000e-06 |
|      44 |        1760 |       01:07:01 |       98.62% |              |       0.2251 |              |      5.0000e-06 |
|      45 |        1780 |       01:07:46 |       98.48% |              |       0.2126 |              |      5.0000e-06 |
|      45 |        1800 |       01:08:36 |       98.35% |       98.09% |       0.3159 |       0.3132 |      5.0000e-06 |
|      46 |        1820 |       01:09:22 |       98.58% |              |       0.2314 |              |      5.0000e-06 |
|      46 |        1840 |       01:10:06 |       98.20% |              |       0.2637 |              |      5.0000e-06 |
|      47 |        1860 |       01:10:51 |       97.85% |              |       0.3279 |              |      5.0000e-06 |
