
img_size =

   216   256    16     1

Training UNet...
[Warning: MATLAB has disabled some advanced graphics rendering features by switching to software OpenGL. For more information, click <a href="matlab:opengl('problems')">here</a>.] 
Initializing input data normalization.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|      94 |        3760 |       02:23:12 |       98.03% |              |       0.3761 |              |      5.0000e-11 |
|      95 |        3780 |       02:23:57 |       98.82% |              |       0.1811 |              |      5.0000e-11 |
|      95 |        3800 |       02:24:47 |       98.55% |       98.00% |       0.2482 |       0.3066 |      5.0000e-11 |
|      96 |        3820 |       02:25:32 |       98.72% |              |       0.1714 |              |      5.0000e-11 |
|      96 |        3840 |       02:26:16 |       98.53% |              |       0.2344 |              |      5.0000e-11 |
|      97 |        3860 |       02:27:01 |       98.58% |              |       0.2599 |              |      5.0000e-11 |
|      97 |        3880 |       02:27:45 |       98.42% |              |       0.2395 |              |      5.0000e-11 |
|      98 |        3900 |       02:28:36 |       98.62% |       98.03% |       0.2447 |       0.3165 |      5.0000e-11 |
|      98 |        3920 |       02:29:21 |       98.76% |              |       0.1982 |              |      5.0000e-11 |
|      99 |        3940 |       02:30:05 |       98.52% |              |       0.2215 |              |      5.0000e-11 |
|      99 |        3960 |       02:30:49 |       97.69% |              |       0.2937 |              |      5.0000e-11 |
|     100 |        3980 |       02:31:34 |       98.47% |              |       0.2324 |              |      5.0000e-11 |
|     100 |        4000 |       02:32:24 |       98.41% |       98.11% |       0.2484 |       0.3029 |      5.0000e-11 |
|     101 |        4020 |       02:33:10 |       98.51% |              |       0.2441 |              |      5.0000e-12 |
|     101 |        4040 |       02:33:53 |       98.31% |              |       0.2752 |              |      5.0000e-12 |
|     102 |        4060 |       02:34:38 |       98.82% |              |       0.1719 |              |      5.0000e-12 |
|     102 |        4080 |       02:35:22 |       97.95% |              |       0.2561 |              |      5.0000e-12 |
|     103 |        4100 |       02:36:14 |       97.10% |       98.07% |       0.3981 |       0.3048 |      5.0000e-12 |
|     103 |        4120 |       02:36:58 |       98.48% |              |       0.2341 |              |      5.0000e-12 |
|     104 |        4140 |       02:37:43 |       98.31% |              |       0.2513 |              |      5.0000e-12 |
|     104 |        4160 |       02:38:27 |       97.62% |              |       0.2775 |              |      5.0000e-12 |
|     105 |        4180 |       02:39:12 |       98.46% |              |       0.2507 |              |      5.0000e-12 |
|     105 |        4200 |       02:40:02 |       98.19% |       98.13% |       0.3165 |       0.3005 |      5.0000e-12 |
|     106 |        4220 |       02:40:47 |       98.53% |              |       0.1821 |              |      5.0000e-12 |
|     106 |        4240 |       02:41:31 |       98.05% |              |       0.3735 |              |      5.0000e-12 |
|     107 |        4260 |       02:42:16 |       98.67% |              |       0.2070 |              |      5.0000e-12 |
|     107 |        4280 |       02:43:00 |       97.92% |              |       0.3392 |              |      5.0000e-12 |
|     108 |        4300 |       02:43:51 |       98.56% |       98.09% |       0.1716 |       0.3059 |      5.0000e-12 |
|     108 |        4320 |       02:44:35 |       98.79% |              |       0.1929 |              |      5.0000e-12 |
|     109 |        4340 |       02:45:20 |       98.52% |              |       0.2190 |              |      5.0000e-12 |
|     109 |        4360 |       02:46:04 |       98.63% |              |       0.1698 |              |      5.0000e-12 |
|     110 |        4380 |       02:46:48 |       98.62% |              |       0.2351 |              |      5.0000e-12 |
|     110 |        4400 |       02:47:38 |       98.74% |       98.06% |       0.2104 |       0.3086 |      5.0000e-12 |
|     111 |        4420 |       02:48:24 |       98.31% |              |       0.2101 |              |      5.0000e-13 |
|     111 |        4440 |       02:49:08 |       97.96% |              |       0.3320 |              |      5.0000e-13 |
|     112 |        4460 |       02:49:52 |       98.87% |              |       0.1651 |              |      5.0000e-13 |
|     112 |        4480 |       02:50:36 |       98.33% |              |       0.2605 |              |      5.0000e-13 |
|     113 |        4500 |       02:51:27 |       98.19% |       98.09% |       0.2739 |       0.3076 |      5.0000e-13 |
|     113 |        4520 |       02:52:12 |       97.30% |              |       0.3320 |              |      5.0000e-13 |
|     114 |        4540 |       02:52:57 |       98.55% |              |       0.2323 |              |      5.0000e-13 |
|     114 |        4560 |       02:53:40 |       98.88% |              |       0.1803 |              |      5.0000e-13 |
|     115 |        4580 |       02:54:25 |       98.80% |              |       0.1440 |              |      5.0000e-13 |
|     115 |        4600 |       02:55:15 |       98.84% |       98.08% |       0.1949 |       0.3071 |      5.0000e-13 |
|     116 |        4620 |       02:56:01 |       98.56% |              |       0.2082 |              |      5.0000e-13 |
|     116 |        4640 |       02:56:44 |       98.67% |              |       0.1723 |              |      5.0000e-13 |
|     117 |        4660 |       02:57:29 |       97.71% |              |       0.3138 |              |      5.0000e-13 |
|     117 |        4680 |       02:58:13 |       98.44% |              |       0.2349 |              |      5.0000e-13 |
|     118 |        4700 |       02:59:04 |       97.68% |       98.11% |       0.3052 |       0.3034 |      5.0000e-13 |
|     118 |        4720 |       02:59:49 |       98.09% |              |       0.3150 |              |      5.0000e-13 |
|     119 |        4740 |       03:00:34 |       98.54% |              |       0.2482 |              |      5.0000e-13 |
|     119 |        4760 |       03:01:17 |       97.20% |              |       0.3630 |              |      5.0000e-13 |
|     120 |        4780 |       03:02:02 |       98.89% |              |       0.2273 |              |      5.0000e-13 |
|     120 |        4800 |       03:02:52 |       97.75% |       98.06% |       0.2977 |       0.3084 |      5.0000e-13 |
|     121 |        4820 |       03:03:38 |       97.99% |              |       0.2194 |              |      5.0000e-14 |
|     121 |        4840 |       03:04:21 |       98.28% |              |       0.2206 |              |      5.0000e-14 |
|     122 |        4860 |       03:05:06 |       98.15% |              |       0.2678 |              |      5.0000e-14 |
