
img_size =

   216   256    16     1

Training UNet...
[Warning: MATLAB has disabled some advanced graphics rendering features by switching to software OpenGL. For more information, click <a href="matlab:opengl('problems')">here</a>.] 
Initializing input data normalization.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|      33 |        1320 |       00:52:18 |       99.08% |              |       0.1503 |              |      5.0000e-05 |
|      34 |        1340 |       00:53:04 |       99.11% |              |       0.1813 |              |      5.0000e-05 |
|      34 |        1360 |       00:53:49 |       98.77% |              |       0.2396 |              |      5.0000e-05 |
|      35 |        1380 |       00:54:36 |       98.45% |              |       0.2095 |              |      5.0000e-05 |
|      35 |        1400 |       00:55:28 |       98.81% |       98.61% |       0.1251 |       0.2387 |      5.0000e-05 |
|      36 |        1420 |       00:56:15 |       98.56% |              |       0.1723 |              |      5.0000e-05 |
|      36 |        1440 |       00:57:00 |       98.76% |              |       0.1700 |              |      5.0000e-05 |
|      37 |        1460 |       00:57:47 |       98.89% |              |       0.2140 |              |      5.0000e-05 |
|      37 |        1480 |       00:58:32 |       98.99% |              |       0.1513 |              |      5.0000e-05 |
|      38 |        1500 |       00:59:25 |       98.52% |       98.61% |       0.2299 |       0.2448 |      5.0000e-05 |
|      38 |        1520 |       01:00:12 |       98.66% |              |       0.2311 |              |      5.0000e-05 |
|      39 |        1540 |       01:00:58 |       99.06% |              |       0.1734 |              |      5.0000e-05 |
|      39 |        1560 |       01:01:43 |       98.58% |              |       0.2265 |              |      5.0000e-05 |
|      40 |        1580 |       01:02:31 |       98.86% |              |       0.1665 |              |      5.0000e-05 |
|      40 |        1600 |       01:03:23 |       98.68% |       98.61% |       0.2052 |       0.2425 |      5.0000e-05 |
|      41 |        1620 |       01:04:10 |       98.97% |              |       0.1650 |              |      5.0000e-06 |
|      41 |        1640 |       01:04:55 |       98.92% |              |       0.2083 |              |      5.0000e-06 |
|      42 |        1660 |       01:05:42 |       98.84% |              |       0.1943 |              |      5.0000e-06 |
|      42 |        1680 |       01:06:27 |       98.87% |              |       0.2026 |              |      5.0000e-06 |
|      43 |        1700 |       01:07:20 |       98.62% |       98.63% |       0.1874 |       0.2434 |      5.0000e-06 |
|      43 |        1720 |       01:08:06 |       98.86% |              |       0.1931 |              |      5.0000e-06 |
|      44 |        1740 |       01:08:53 |       98.56% |              |       0.1712 |              |      5.0000e-06 |
|      44 |        1760 |       01:09:38 |       98.69% |              |       0.1663 |              |      5.0000e-06 |
|      45 |        1780 |       01:10:25 |       98.90% |              |       0.1894 |              |      5.0000e-06 |
|      45 |        1800 |       01:11:17 |       98.55% |       98.60% |       0.2007 |       0.2423 |      5.0000e-06 |
|      46 |        1820 |       01:12:04 |       98.82% |              |       0.2151 |              |      5.0000e-06 |
|      46 |        1840 |       01:12:49 |       98.22% |              |       0.2177 |              |      5.0000e-06 |
|      47 |        1860 |       01:13:36 |       98.19% |              |       0.2349 |              |      5.0000e-06 |
|      47 |        1880 |       01:14:21 |       98.97% |              |       0.1711 |              |      5.0000e-06 |
|      48 |        1900 |       01:15:14 |       98.97% |       98.57% |       0.1839 |       0.2426 |      5.0000e-06 |
|      48 |        1920 |       01:16:00 |       98.85% |              |       0.2031 |              |      5.0000e-06 |
|      49 |        1940 |       01:16:47 |       98.85% |              |       0.1744 |              |      5.0000e-06 |
|      49 |        1960 |       01:17:32 |       98.74% |              |       0.1398 |              |      5.0000e-06 |
|      50 |        1980 |       01:18:18 |       99.02% |              |       0.1831 |              |      5.0000e-06 |
|      50 |        2000 |       01:19:10 |       98.71% |       98.61% |       0.2494 |       0.2493 |      5.0000e-06 |
|      51 |        2020 |       01:19:57 |       98.73% |              |       0.2228 |              |      5.0000e-07 |
|      51 |        2040 |       01:20:42 |       99.15% |              |       0.1562 |              |      5.0000e-07 |
|      52 |        2060 |       01:21:29 |       98.80% |              |       0.1734 |              |      5.0000e-07 |
|      52 |        2080 |       01:22:14 |       98.86% |              |       0.1515 |              |      5.0000e-07 |
|      53 |        2100 |       01:23:07 |       98.72% |       98.60% |       0.1819 |       0.2472 |      5.0000e-07 |
|      53 |        2120 |       01:23:53 |       98.32% |              |       0.1996 |              |      5.0000e-07 |
